pk,name,oid,path
139,1918-sketch_Hamnyn_Harris_Fig24.png,EAEA0-C451-3951-6840-0,1918_sketch_Hamnyn_Harris_Fig24.png
140,1940_Frank_Fig.24.png,EAEA0-2774-A5A4-79B2-0,1940_Frank_Fig.24.png
141,1918-sketch_Hamnyn_Harris_Fig25.png,EAEA0-0EDB-EE0A-A093-0,1918_sketch_Hamnyn_Harris_Fig25.png
142,1940_Frank_Fig.19.png,EAEA0-21DD-DDF7-A97D-0,1940_Frank_Fig.19.png
143,1940_Frank_Fig.12.png,EAEA0-81DF-CFD0-94CE-0,1940_Frank_Fig.12.png
144,1918-sketch_Hamnyn_Harris_Fig26.png,EAEA0-3CB4-F1AA-91A7-0,1918_sketch_Hamnyn_Harris_Fig26.png
145,1918-sketch_Hamnyn_Harris_Fig27.png,EAEA0-B1F1-3622-A7E3-0,1918_sketch_Hamnyn_Harris_Fig27.png
146,1918-sketch_Hamnyn_Harris_Fig28.png,EAEA0-3B0B-D8D4-7693-0,1918_sketch_Hamnyn_Harris_Fig28.png
147,1940_Frank_Fig.16.png,EAEA0-50AE-DF5C-D91E-0,1940_Frank_Fig.16.png
148,y-1918-sketch_Hamnyn_Harris_Fig28_black.png,EAEA0-912F-D2E9-852E-0,y_1918_sketch_Hamnyn_Harris_Fig28_black.png
149,y-1918-sketch_Hamnyn_Harris_Fig28_black_01.png,EAEA0-0D44-8930-9E74-0,y_1918_sketch_Hamnyn_Harris_Fig28_black_01.png
150,y-1918-sketch_Hamnyn_Harris_Fig28_black_02.png,EAEA0-0EE0-B075-C420-0,y_1918_sketch_Hamnyn_Harris_Fig28_black_02.png
151,1918-sketch_Hamnyn_Harris_Fig29.png,EAEA0-0BC1-7770-0583-0,1918_sketch_Hamnyn_Harris_Fig29.png
152,1926-Artefact_fig01_Thorpe-Aboriginal_message_sticks_p423.JPG,EAEA0-0934-8D53-470B-0,1926_Artefact_fig01_Thorpe_Aboriginal_message_sticks_p423.JPG
153,1926-Thorpe-Aboriginal_message_sticks-1.pdf,EAEA0-B78D-1F66-F874-0,1926_Thorpe_Aboriginal_message_sticks_1.pdf
154,1926-Artefact_fig03_Thorpe-Aboriginal_message_sticks_p424.JPG,EAEA0-CE2F-B436-8A4F-0,1926_Artefact_fig03_Thorpe_Aboriginal_message_sticks_p424.JPG
155,y-1938-Artefact_fig01-Mountford-p123_black.png,EAEA0-219B-9AC4-2F56-0,y_1938_Artefact_fig01_Mountford_p123_black.png
156,1938-Artefact_fig02-Mountford-Message_sticks_Nullabor_p123.JPG,EAEA0-FAE0-1538-5D70-0,1938_Artefact_fig02_Mountford_Message_sticks_Nullabor_p123.JPG
157,1938-Mountford-Message_sticks_Nullabor-1.pdf,EAEA0-1204-6EE9-1D99-0,1938_Mountford_Message_sticks_Nullabor_1.pdf
158,1938-Artefact_z-01-nla.news-article30853888.5.JPG,EAEA0-C1E4-81B2-1792-0,1938_Artefact_z_01_nla.news_article30853888.5.JPG
159,1938-Artefact_fig01-Mountford-Message_sticks_Nullabor_p123.png,EAEA0-7702-3237-67DC-0,1938_Artefact_fig01_Mountford_Message_sticks_Nullabor_p123.png
